review,label,score,tokenized
어제의 너 보다 오늘 더 성장했는데~? ㅋㅋ 명대사! 너무재밌었어요!! +_+ 기대이상이었습니다~,99 %,긍정,"['어제의', '너', '보다', '오늘', '더', '성장했는데~?', 'ㅋㅋ', '명대사!', '너무', '+_+', '기대']"
2020년 본 영화중에 가장 기분 좋게 본 영화같아요,99 %,긍정,"['2020', '본', '영화', '가장', '기분', '좋게', '본', '영화']"
근래 본 영화 중 최고! 박혜수 진짜 너무 귀여워ㅜㅜ,99 %,긍정,"['근래', '본', '영화', '중', '최고', '박혜수', '진짜', '너무', '귀여워ㅜㅜ']"
억지신파 내용 아니라서 더 맘에 들어요 배우들 케미 좋네요ㅎㅎ,70 %,긍정,"['억지', '내용', '아니', '더', '맘에', '들어요', '배우', '케미', '좋네요ㅎㅎ']"
정의로운 세상을 꿈꾸게 되는 영화였습니다 좋아요ㅎㅎ,87 %,긍정,"['정의로운', '세상', '꿈꾸게', '되는', '영화', '좋아']"
사회적으로 시사하는바가 좋습니다. 꼭 한번 보시기를강추합니다.,97 %,긍정,"['사회', '시사', '좋습니다.', '꼭', '한번', '보시기를강추합니다.']"
다들 어찌 95년생 직장인 연기가 이리 찰떡이란말이오 ㅋㅋ,84 %,긍정,"['다들', '어찌', '95년생', '직장인', '연기', '이리', '찰떡이란말이오', 'ㅋㅋ']"
추억의 노래와 갬성! 이 정도로 재밌을줄 몰랐는데 너무 재밌게 봤다!,95 %,긍정,"['추억의', '노래와', '갬성!', '이', '정도', '재밌', '몰랐는데', '너무', '재밌', '봤다!']"
고아성은 여기서도 폐수를 ㅎㅎ,52 %,긍정,"['고아성', '여기서도', '폐수를', 'ㅎㅎ']"
진짜 기대안햇는데 재밌어..,98 %,긍정,"['진짜', '기대', '재밌']"
이솜 진짜...옷빨 미쳣다 ㅋ 촌스러운 옷들도 찰떡같이 잘어울려 ㅋㅋ,56 %,긍정,"['이솜', '진짜', '미쳣다', 'ㅋ', '촌스러운', '옷들도', '찰떡같이', '잘어울려', 'ㅋㅋ']"
타일러 나오는것도 괜시리 반갑고 리얼햇음 ㅋㅋ,54 %,긍정,"['타일러', '나오는', '괜시리', '반갑고', '리얼햇음', 'ㅋㅋ']"
이솜 캐릭터 소화력 미쳣당 ㅋ,92 %,긍정,"['이솜', '캐릭터', '소화력', '미쳣당', 'ㅋ']"
짜임새 있고 지루하지 않고 의미도 있음.,99 %,긍정,"['짜임새', '있고', '지루', '않고', '의미도', '있음.']"
